StartDate,EndDate,Duration,Q3,Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,SC0,SC1,SC2
26/06/2019 16:30,26/06/2019 16:34,241,BT-SMAO-0001,1,3,3,1,3,3,1,1,1,3,3,5,4,1,5,3,1,1,1,3,1,3,3,1,1,1,3,1,1,1,3,1,40,23,12
26/06/2019 16:56,26/06/2019 17:09,799,BT-SMAO-0001,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
26/06/2019 17:09,26/06/2019 19:04,6912,BT-SMAO-0002,2,2,3,1,5,3,1,1,1,2,5,5,3,1,5,3,1,1,1,1,1,5,5,1,1,1,1,1,1,1,2,1,39,24,11
26/06/2019 19:31,26/06/2019 19:35,235,BT-SMAO-0002,7,5,3,1,5,5,1,1,1,3,5,5,5,4,5,5,1,1,1,2,1,5,5,1,1,1,2,1,1,1,3,2,54,35,17
27/06/2019 10:01,27/06/2019 11:15,4415,BT-SMAO-0003,3,1,2,1,4,4,2,1,3,4,4,2,4,2,2,2,3,1,1,4,2,2,2,2,1,2,2,2,1,1,1,2,42,22,14
27/06/2019 11:34,27/06/2019 11:36,154,BT-SMAO-0003,6,1,1,5,1,1,5,5,5,1,1,1,5,5,1,1,4,4,2,1,5,1,1,4,4,5,1,4,3,2,1,1,51,24,27
27/06/2019 13:35,27/06/2019 13:46,665,BT-SMAO-0004,4,5,5,1,5,5,1,1,1,5,5,5,3,1,5,5,1,1,1,5,1,5,5,5,1,1,4,1,1,1,4,4,64,34,29
27/06/2019 14:03,27/06/2019 14:20,1038,BT-SMAO-0004,7,2,1,3,2,3,5,3,3,1,2,2,3,5,1,1,2,1,4,1,3,1,1,4,4,4,1,3,3,3,1,1,51,22,21
27/06/2019 16:35,27/06/2019 16:38,177,BT-SMAO-0005,6,3,2,1,5,3,4,1,1,2,5,4,5,3,4,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,4,43,29,10
27/06/2019 17:02,27/06/2019 17:04,123,BT-SMAO-0005,1,5,5,1,5,4,1,1,1,5,5,5,4,1,5,4,1,1,1,5,1,4,5,1,1,1,2,1,1,1,5,5,57,34,23
27/06/2019 18:47,27/06/2019 18:50,201,BT-SMAO-0006,2,5,5,5,5,5,1,1,1,1,5,5,1,1,5,5,1,1,1,1,1,5,5,1,1,1,5,1,1,1,5,5,56,32,24
27/06/2019 19:29,27/06/2019 19:31,159,BT-SMAO-0006,7,5,4,1,5,5,1,1,1,3,5,5,5,5,5,5,1,1,1,5,1,5,5,3,1,1,5,1,1,1,5,5,68,37,30
28/06/2019 11:39,28/06/2019 11:41,157,BT-SMAO-0007,7,4,5,1,5,3,1,1,1,4,4,4,4,2,4,4,1,1,1,4,1,3,4,1,1,1,4,1,1,1,4,4,51,29,20
28/06/2019 12:09,28/06/2019 12:11,149,BT-SMAO-0007,3,4,4,1,5,4,1,1,1,4,4,4,4,3,4,3,1,1,1,3,1,3,4,2,1,1,2,1,1,1,4,4,48,30,17
28/06/2019 13:25,28/06/2019 13:40,898,BT-SMAO-0008,4,4,4,4,1,1,2,2,1,1,3,1,2,1,4,1,1,1,1,1,5,1,1,2,1,5,1,1,1,1,1,1,30,17,9
28/06/2019 13:44,28/06/2019 14:12,1692,BT-SMAO-0008,7,1,3,5,1,2,5,5,3,3,4,5,5,5,3,1,2,1,1,1,5,1,2,5,5,5,3,5,1,1,2,1,66,36,25
28/06/2019 16:06,28/06/2019 16:34,1672,BT-SMAO-0009,5,5,5,1,5,1,1,1,1,5,5,5,5,1,5,5,1,1,1,5,1,5,5,1,1,5,5,1,1,1,5,5,64,32,32
28/06/2019 16:38,28/06/2019 16:55,1022,BT-SMAO-0009,4,5,5,1,5,1,1,1,1,5,1,5,5,1,5,5,1,1,1,5,1,5,5,1,1,1,5,1,1,1,5,5,56,28,28
1/07/2019 16:23,1/07/2019 16:26,180,BT-SMAO-0011,7,2,3,4,3,5,1,1,1,2,5,2,4,4,4,2,1,1,1,3,2,2,2,1,1,3,2,1,1,1,3,3,44,27,13
1/07/2019 16:51,1/07/2019 16:53,138,BT-SMAO-0011,3,4,5,1,3,5,3,2,1,3,5,4,5,4,3,2,1,1,1,3,1,2,2,1,1,3,3,1,1,1,3,2,51,34,12
2/07/2019 16:24,2/07/2019 16:40,981,BT-SMAO-0012,6,5,4,1,1,5,3,1,1,1,5,5,5,5,5,5,1,1,1,4,1,5,4,1,1,4,4,1,1,1,5,5,62,33,28
2/07/2019 16:45,2/07/2019 17:06,1293,BT-SMAO-0012,4,5,5,1,5,5,1,1,1,5,5,5,1,1,5,5,1,1,1,5,1,5,5,1,1,1,5,1,1,1,5,5,60,32,28
2/07/2019 18:31,2/07/2019 18:34,197,BT-SMAO-0013,6,5,4,1,4,4,2,2,1,3,4,4,3,2,4,3,1,1,1,4,1,4,3,2,2,1,2,2,1,1,2,4,52,29,18
2/07/2019 18:46,2/07/2019 19:02,958,BT-SMAO-0013,1,2,2,4,1,2,4,5,2,2,2,2,1,1,2,1,3,1,1,2,3,1,2,4,4,3,2,4,1,1,2,2,45,18,20
3/07/2019 11:55,3/07/2019 11:58,202,BT-SMAO-0014,2,5,5,1,5,1,1,1,1,4,5,5,1,4,5,5,1,1,1,5,1,4,5,1,1,1,5,1,1,1,4,5,56,30,26
3/07/2019 12:00,3/07/2019 12:27,1627,BT-SMAO-0014,6,4,2,1,5,2,2,1,1,1,1,5,4,4,4,4,1,1,1,2,4,2,2,1,1,1,3,1,1,1,2,4,41,23,15
3/07/2019 13:32,3/07/2019 13:35,186,BT-SMAO-0015,2,3,5,1,4,4,1,1,1,3,4,4,3,2,5,4,1,1,1,4,1,4,4,1,3,1,3,1,1,1,4,4,52,27,22
3/07/2019 13:36,3/07/2019 14:00,1489,BT-SMAO-0015,6,4,4,1,5,5,1,1,1,4,5,4,3,1,4,4,1,1,1,4,1,4,4,1,1,1,4,1,1,1,4,5,52,29,22
8/07/2019 11:19,8/07/2019 11:23,188,BT-SMAO-0016,3,5,3,1,4,5,2,1,1,3,4,4,5,4,5,4,1,1,1,3,1,4,4,1,1,1,3,1,1,1,3,4,54,33,18
8/07/2019 11:50,8/07/2019 11:52,143,BT-SMAO-0016,5,5,2,1,5,5,5,1,3,2,5,1,5,5,4,4,3,1,1,1,1,3,2,1,1,1,2,1,2,3,2,5,55,35,17
8/07/2019 12:26,8/07/2019 13:24,3470,BT-SMAO-0017,1,3,4,4,2,1,1,1,1,2,2,4,2,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,26,19,3
8/07/2019 13:56,8/07/2019 13:58,124,BT-SMAO-0017,5,5,3,1,5,5,1,1,1,2,5,5,5,3,5,3,1,1,1,2,1,3,4,1,1,1,2,1,1,1,1,4,48,33,12
8/07/2019 16:18,8/07/2019 16:21,213,BT-SMAO-0018,4,2,1,2,3,3,1,1,1,1,2,3,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,19,12,2
8/07/2019 16:48,8/07/2019 16:50,118,BT-SMAO-0018,5,5,4,1,5,4,1,1,1,3,4,5,5,1,5,3,1,1,1,1,1,3,5,1,1,1,1,1,1,1,3,1,42,31,10
9/07/2019 16:13,9/07/2019 16:15,114,BT-SMAO-0019,7,5,5,1,5,5,2,1,1,3,5,5,5,4,4,3,1,1,1,3,1,2,3,1,1,2,3,1,1,1,3,3,53,37,14
9/07/2019 16:46,9/07/2019 16:48,115,BT-SMAO-0019,4,2,3,2,3,4,2,3,2,1,2,2,1,2,2,1,3,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,34,17,7
4/09/2019 16:16,4/09/2019 16:19,163,BT-SMAO-0020,2,5,5,1,5,4,1,1,1,1,5,4,1,1,5,4,1,1,1,4,1,5,5,2,1,1,1,1,1,1,1,4,44,26,18
4/09/2019 18:22,4/09/2019 18:28,355,BT-SMAO-0021,2,4,1,5,5,1,5,4,5,3,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,41,28,12
5/09/2019 10:45,5/09/2019 11:11,1552,BT-SMAO-0022,2,5,5,1,5,4,1,1,1,5,5,5,1,1,5,5,2,1,1,4,1,4,4,3,4,1,5,2,4,1,3,5,64,31,33
5/09/2019 12:36,5/09/2019 12:41,313,BT-SMAO-0023,2,5,5,1,5,4,1,1,1,4,5,5,2,1,5,5,1,1,1,4,1,4,5,1,1,1,3,2,1,1,1,1,49,31,17
5/09/2019 16:06,5/09/2019 16:08,152,BT-SMAO-0024,2,3,3,2,5,2,1,5,1,2,4,3,1,1,4,2,1,1,1,2,1,1,4,2,3,2,2,1,1,1,1,3,40,23,12
6/09/2019 16:28,6/09/2019 16:31,185,BT-SMAO-0025,2,5,4,1,5,3,1,1,1,1,4,5,1,1,5,4,1,1,1,2,1,3,5,1,1,1,2,1,1,1,2,2,38,24,13
10/09/2019 12:12,10/09/2019 14:01,6575,BT-SMAO-0026,2,4,4,1,5,4,1,1,1,3,4,5,3,5,5,3,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,40,32,6
11/09/2019 10:37,11/09/2019 11:08,1852,BT-SMAO-0027,2,2,2,1,4,2,1,1,1,2,2,4,3,1,4,2,2,1,1,2,1,1,2,1,2,2,1,3,2,1,2,2,32,16,11
11/09/2019 16:35,11/09/2019 16:48,785,BT-SMAO-0028,2,4,5,1,5,5,1,1,1,4,5,5,4,1,5,4,1,1,1,4,1,4,4,1,1,1,3,1,1,1,3,4,52,33,19
12/09/2019 11:06,12/09/2019 11:08,137,BT-SMAO-0029,2,4,4,1,5,5,1,1,1,3,5,4,2,1,5,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,36,28,6
12/09/2019 19:00,12/09/2019 19:06,357,BT-SMAO-0030,2,5,3,2,2,2,1,2,1,1,3,4,1,2,4,2,1,2,1,2,2,1,2,2,3,1,1,2,1,1,2,2,37,19,11
13/09/2019 10:57,13/09/2019 11:32,2114,BT-SMAO-0031,2,4,4,1,5,4,1,1,1,4,5,5,1,1,5,5,1,1,1,5,1,5,5,1,1,1,5,1,1,1,5,5,56,28,28
13/09/2019 13:16,13/09/2019 13:18,124,BT-SMAO-0032,2,4,5,1,4,1,1,1,1,1,5,5,1,1,4,4,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,28,21,7
